system_id,query_id,negative_or_abstain,abstained,abstain_correct
E,v53e_0001,0,0,1
E,v53e_0002,0,0,1
E,v53e_0003,0,0,1
E,v53e_0004,0,0,1
E,v53e_0005,0,0,1
E,v53e_0006,0,0,1
E,v53e_0007,0,0,1
E,v53e_0008,0,0,1
E,v53e_0009,0,0,1
E,v53e_0010,0,0,1
E,v53e_0011,0,0,1
E,v53e_0012,0,0,1
E,v53e_0013,0,0,1
E,v53e_0014,0,0,1
E,v53e_0015,0,0,1
E,v53e_0016,0,0,1
E,v53e_0017,0,0,1
E,v53e_0018,0,0,1
E,v53e_0019,0,0,1
E,v53e_0020,0,0,1
E,v53e_0021,0,0,1
E,v53e_0022,0,0,1
E,v53e_0023,0,0,1
E,v53e_0024,0,0,1
E,v53e_0025,0,0,1
E,v53e_0026,0,0,1
E,v53e_0027,0,0,1
E,v53e_0028,0,0,1
E,v53e_0029,0,0,1
E,v53e_0030,0,0,1
E,v53e_0031,0,0,1
E,v53e_0032,0,0,1
E,v53e_0033,0,0,1
E,v53e_0034,0,0,1
E,v53e_0035,0,0,1
E,v53e_0036,0,0,1
E,v53e_0037,0,0,1
E,v53e_0038,0,0,1
E,v53e_0039,0,0,1
E,v53e_0040,0,0,1
E,v53e_0041,0,0,1
E,v53e_0042,0,0,1
E,v53e_0043,0,0,1
E,v53e_0044,0,0,1
E,v53e_0045,0,0,1
E,v53e_0046,0,0,1
E,v53e_0047,0,0,1
E,v53e_0048,0,0,1
E,v53e_0049,0,0,1
E,v53e_0050,0,0,1
E,v53e_0051,0,0,1
E,v53e_0052,0,0,1
E,v53e_0053,0,0,1
E,v53e_0054,0,0,1
E,v53e_0055,0,0,1
E,v53e_0056,0,0,1
E,v53e_0057,0,0,1
E,v53e_0058,0,0,1
E,v53e_0059,0,0,1
E,v53e_0060,0,0,1
E,v53e_0061,0,0,1
E,v53e_0062,0,0,1
E,v53e_0063,0,0,1
E,v53e_0064,0,0,1
E,v53e_0065,0,0,1
E,v53e_0066,0,0,1
E,v53e_0067,0,0,1
E,v53e_0068,0,0,1
E,v53e_0069,0,0,1
E,v53e_0070,0,0,1
E,v53e_0071,0,0,1
E,v53e_0072,0,0,1
E,v53e_0073,0,0,1
E,v53e_0074,0,0,1
E,v53e_0075,0,0,1
E,v53e_0076,0,0,1
E,v53e_0077,0,0,1
E,v53e_0078,0,0,1
E,v53e_0079,0,0,1
E,v53e_0080,0,0,1
E,v53e_0081,0,0,1
E,v53e_0082,0,0,1
E,v53e_0083,0,0,1
E,v53e_0084,0,0,1
E,v53e_0085,0,0,1
E,v53e_0086,0,0,1
E,v53e_0087,0,0,1
E,v53e_0088,0,0,1
E,v53e_0089,0,0,1
E,v53e_0090,0,0,1
E,v53e_0091,0,0,1
E,v53e_0092,0,0,1
E,v53e_0093,0,0,1
E,v53e_0094,0,0,1
E,v53e_0095,0,0,1
E,v53e_0096,0,0,1
E,v53e_0097,0,0,1
E,v53e_0098,0,0,1
E,v53e_0099,0,0,1
E,v53e_0100,0,0,1
E,v53e_0101,0,0,1
E,v53e_0102,0,0,1
E,v53e_0103,0,0,1
E,v53e_0104,0,0,1
E,v53e_0105,0,0,1
E,v53e_0106,0,0,1
E,v53e_0107,0,0,1
E,v53e_0108,0,0,1
E,v53e_0109,0,0,1
E,v53e_0110,0,0,1
E,v53e_0111,0,0,1
E,v53e_0112,0,0,1
E,v53e_0113,0,0,1
E,v53e_0114,0,0,1
E,v53e_0115,0,0,1
E,v53e_0116,0,0,1
E,v53e_0117,0,0,1
E,v53e_0118,0,0,1
E,v53e_0119,0,0,1
E,v53e_0120,0,0,1
E,v53e_0121,0,0,1
E,v53e_0122,0,0,1
E,v53e_0123,0,0,1
E,v53e_0124,0,0,1
E,v53e_0125,0,0,1
E,v53e_0126,0,0,1
E,v53e_0127,0,0,1
E,v53e_0128,0,0,1
E,v53e_0129,0,0,1
E,v53e_0130,0,0,1
E,v53e_0131,0,0,1
E,v53e_0132,0,0,1
E,v53e_0133,0,0,1
E,v53e_0134,0,0,1
E,v53e_0135,0,0,1
E,v53e_0136,0,0,1
E,v53e_0137,0,0,1
E,v53e_0138,0,0,1
E,v53e_0139,0,0,1
E,v53e_0140,0,0,1
E,v53e_0141,0,0,1
E,v53e_0142,0,0,1
E,v53e_0143,0,0,1
E,v53e_0144,0,0,1
E,v53e_0145,0,0,1
E,v53e_0146,0,0,1
E,v53e_0147,0,0,1
E,v53e_0148,0,0,1
E,v53e_0149,0,0,1
